subj	M_G_P_Hap	M_B_P_Hap	instruct	pos_affect	neg_affect	life_satis	Opinion	DemoInstr	age	gender	ethnicity	ethnicity_TEXT	education	ses	trukID	Code	DO-BL-Vignettes	DO-BL-DVsandMediators
R_b7vDErowKiswQ5v		2	1	3	2	3	She is going through general misconceptions amongst many women. She is just confused about certain things and can't decide what to do. Her life revolves around many decisions and she isn't sure what to decide		21	1	5		2	6	A21X31BK364AFF	1	M_B_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_01gjCkccvivTybX	6		1	6	6	6	Maria is thinking about all the blessings in her life. Her family and her friends make her life worth living. Taking care of them allows for her to take care of herself. She's likely to count her blessings or give thanks on a daily basis.		24	2	5		4	8	A328NWLCNGQ7GJ	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_beEbTO4l6SUXOPr		4	1	4	7	1	I must become just like the people that I hang out with every day and every night. I must become one of them and knowing people and befriending people who are celebrities and who know celebrities will help me get to my goal faster		23	1	3		5	5	A1UTBDKOQ2MKUD	1	M_B_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_eLs33mjH6OAjOwR	7		1	7	7	7	She knows that everything is going right in her mind and will continue to do what ever it is she is doing which is spending her time with her children. I don't really know what else to say that is going through her mind with that short paragraph. There just wasn't enough info for me to know what is truly going on with her life. 		25	1	3		4	8	A2QGSGRJBSAESJ	1	M_G_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_721OJgHaKgbO71H	7		1	7	7	7	Maria is wondering whether what she can do on a day to day basis to make sure her children are happy and safe.  She is planning out her next project and what she can do to foster her children's intelligence.		32	2	5		4	8	A1KZ6I92SWIN75	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_cAVcDNjqNASDdxb	7		1	7	1	7	Maria would do anything to make sure that her kids are happy and that they can have a great childhood. She'd like to spend more time with her own friends but values her children's happiness over her own		26	1	5		4	7	A2RZZKQXMR3CF1	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_0oKxxDGrhfZefI1		5	1	6	7	7	Doesn't sound like there's  very much going on inside Maria's head aside from the overwhelming desire to feel popular. But I imagine if you could get to the core of the person you'd find a very sad soul.		32	1	5		1	9	A2LL81ERU0Y7E6	1	M_B_P_Hap	instruct|neg_affect|pos_affect|life_satis
R_cGtU5yhJvNQlZit	7		1	7	6	7	Maria is thinking about her children and how well they are being brought up. She also is thinking about how they affect her life well and that she wouldn't change a thing. She expect the future to go on as it is right now.		25	1	5		5	7	A30GMQSLMF1VC8	1	M_G_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_3jVmCYyxW64btY1		5	1	7	7	7	"I think Maria keeps herself so busy that she doesn't ever have time to seriously consider what she wants out of life or how to make her happy in the long run. Although this might seem like a good idea (because she doesn't have time to feel negative emotions), I think it will catch up to her at some point)."		28	1	5		5	6	ADQ27JG7OMACZ	1	M_B_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_00oTzv2jMYQobuR		3	1	7	7	7	"She is under the immpression that you have to be wealthy and famous to not only be happy, but to be worth her time. She believes she is doing what's right for her. Sadly, in the long run it is the exact opposite and she will likely lose her old friends."		19	1	5		2	6	A1BFO1ZAS64NUZ	1	M_B_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_0dYUNwVYSncf0tT		2	1	5	5	5	"I think Maria is very self-involved to the point of border line narcissism. In particularly the line that tipped this off to me is that she is ignoring all friends unless they can bring a celebrity to the table. When someone begins sacrificing authentic connections in the name of passing pleasure, it is a sign that they are coming unhinged. So while I agree that technically she is experiencing ""positive"" emotions at this moment, I think she probably deeply unhappy deeper in her mind, as she sees her life become less substantive and becomes more ingrained in a world that doesn't value her anymore more than she values it. "		33	1	5		6	4	A3SU7063J33LPR	1	M_B_P_Hap	instruct|neg_affect|life_satis|pos_affect
R_cuQbty3xmqMEyS9	6		1	6	6	6	"It makes Maria very happy to take care of her three children.  Even though she is very busy, she derives great pleasure and joy from all the activities that involve her children.  "		37	1	1		5	8	AVQGY7FCU80XP	1	M_G_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_bQxsOZb3giCdUt7		6	1	6	6	6	"Maria believes that happiness is going to follow becoming popular, and that the process is in essence a happy way to live your life. Many people strive to complete certain tasks or goals in their life. Her goal is no different though be it a bit more shallow in my opinion. Maria is happy doing what she believes will make her happy."		30	1	5		4	8	A2NSCWL95KUIG6	1	M_B_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_9tMUQ2DRkKyymB7	7		1	7	7	7	"Maria is thinking primarily about her children and all the time she spends with them. Maria is thinking that she loves her children. Maria is also thinking that she still gets to spend some time with her old friends, but her kids are her priority."		23	1	5		5	7	A2B9RYX8FBF7M9	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_6D0OQd8y5BD2uDX	7		1	7	1	7	She is thinking about how she likes watching her children grow up and likes being a mother. She wants to spend time with old friends but children take up all of her time. She is still happy with her life.		27	2	5		3	6	AXZU9N0EQ6NLF	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_099kELQHRUh8NbD	6		1	6	6	6	"Maria feels that the production of children (reproduction) is the highest creation that a human can achieve. By spawning three progeny, Maria has likely assured a long continuation of the lineage that traces back all the way to the first life on Earth."		30	1	1		5	8	A207IHY6GERCFO	1	M_G_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_1XqeclKLUyrUJy5		4	1	4	4	4	Maria is confused about her life.  She's not able to fully understand her emotions and wants in life. I feel she's a little young and immature and needs to get control of her life. 		47	2	5		4	5	A387WXZGACGSO0	1	M_B_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_cT0FlSKNcxBmKe9	7		1	7	7	7	"I believe that in Maria's mind she found a satisfying purpose in her life, one that is rewarding and satisfying. In her mind, she found her life meaning, and she is completed is content with it."		23	1	3		4	6	A1153ZIEQX0ZJ8	1	M_G_P_Hap	instruct|neg_affect|life_satis|pos_affect
R_7NFlBZjdd5ttGXH		5	1	7	7	7	"I think, in Maria's mind, her number one goal is to get and stay in with the popular crowd. She wants people to like her, and she wants to be surrounded by famous people. She doesn't care about her old friends anymore, because she has no use for them anymore. Her old friends aren't on her mind at all. "		24	1	1		4	5	A310OMOTSI6J7E	1	M_B_P_Hap	instruct|neg_affect|life_satis|pos_affect
R_6F15px4IuImjQDr		7	1	7	7	7	"Maria is extremely insecure, but she's heard from many others that you have to ""fake it 'til you make it"". She lives by this philosophy religiously and pretends to be someone that she is not."		24	1	3		5	3	A257UIPAZR9NTN	1	M_B_P_Hap	instruct|life_satis|neg_affect|pos_affect
R_2tnXkKvLr0DifZ3	7		1	7	5	7	She is more than happy to take care of the children but she wants to keep in touch with her friends and would like someone to take care of the children a few times a month to have her own time. 		25	1	3		5	8	A36XRHW6R8MU0C	1	M_G_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_3Vpv9gmj4r8o3dj	7		1	7	1	7	"I feel like Maria is confident and strong-willed.  She is determined to make the best of her situation and has a strong need to ensure the future is bright for her children.  She knows that through hard work and perseverance, she can make things great."		26	1	5		6	7	A274NFT93QPBGL	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_3PrvI2wlIsVSqsl	6		1	6	6	6	maria's mind is busy.  it is occupied for nearly every waking moment of every day.  she has little time to reflect on the past or to hope for the future.  she is raising three children and it is a full time job and she loves it.  she loves being a mother and it completes her.  she is no longer focused on herself but on others - her three children.		37	1	3		5	5	A22MI8GGC8C8BQ	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_6W4NkmlbNkgbu3b		7	1	7	7	7	Maria is satisfied with the way she lives her life and is oblivious to the way she treats other people are the harm she actually may be doing to herself.  She thinks that as long as she isn't hurting anyone physically and taking care of her own business she should be able to do whatever she wants.  		35	2	5		5	4	A3BPRPN10HJD4B	1	M_B_P_Hap	instruct|neg_affect|life_satis|pos_affect
R_9LI6Ibn6QLEhJ1r	7		1	7	7	7	"Maria's mind is stimulated by maintaining close relationships to those she holds close. In Maria's mind, maintaining these relationships is important to leading a healthy and fruitful life."		32	1	5		5	5	A2M6Z8SPNEKQRM	1	M_G_P_Hap	instruct|neg_affect|life_satis|pos_affect
R_cUBRe49Z1cXspb7		6	1	7	7	7	"Maria is on her way to living the life that she has envisioned for herself, regardless of what anyone else may think. She finds fulfillment in living how she wants, so she is usually in a positive state of mind."		35	1	5		5	6	A2E3TO92MCQ9XU	1	M_B_P_Hap	instruct|life_satis|neg_affect|pos_affect
R_7UiQDcBsdesQ2Lr		5	1	7	1	7	"She is highly motivated to become famous and to make herself popular. She doesn't care who she steps on to get there, but her goal is the top and she will achieve it. She makes sure she has everything she feels she needs to rise up."		34	2	5		2	8	A17QTCOGTAHWOG	1	M_B_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_eEyJpxgjCxCE7VX		2	1	7	7	7	"Maria thinks being popular is the way to live her life because in her mind she is craving social status and that to her is what life is all about. She thinks by achieving social status, her life will be perfect and she has accomplished the ultimate life goal. Especially dating a celebrity, she feels she will be the envy of all and she will feel very important in society."		33	2	5		4	6	A36XM6N6T78N04	1	M_B_P_Hap	instruct|neg_affect|pos_affect|life_satis
R_9GoA0VruEzHeGeV	7		1	7	7	7	"She's is content with where she is in life, having children that she loves and good friends. She couldn't ask to be in a better place. She has all that she could ever ask for."		21	1	5		2	9	A2RJHOC7VRA1PB	1	M_G_P_Hap	instruct|life_satis|neg_affect|pos_affect
R_0oEw5bY0oSiGdwx	7		1	7	7	7	"I think that Maria is thinking about how nice her life is and planning her day out.  She seemed very busy, and as a busy person I know that a lot of your time is spent thinking about the next thing you have to do and planning it out.  She might also be thinking about how she can be better for her children as well and little things she could do to make them happy."		20	1	5		4	3	A30Z11C993ISKW	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_efjIGHUo6YsGqSV		5	1	7	7	7	I think that Maria is afraid that if she doesn't have a lot of friend her life won't be what she wants it to be. So in her head she thinks that she needs to please everyone no matter whether what she is doing is right or wrong.		28		5		4	5	A1FGN2JF4LCF9B	1	M_B_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_eIZuaPUzJAtV0wt		5	1	7	4	7	"I think that Maria is aware of the shortcomings in her life - that is to say, she knows that she is sacrificing her friendships in order to achiever her own personal goals - and I believe that has a deep effect on the way she feels about herself. By giving up friendship in order to achieve some sort of proximity to fame, she is losing the interactions that she once valued and is treasuring more superficial and non-emotional actions."		35	1	5		4	8	A1MG406XG9S1ZS	1	M_B_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_9p45FpPfUCbP6C1	6		1	7	6	6	"Maria is apathetic, she thinks about her children all the time. She doesn't have any free time in her day to dwell on any emotions she might be feeling, and she doesn't feel a need to because her children rely on her."		27	2	5		3	6	A2YBZFSUD5OP7W	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_brS35cbe1yUJyqV	7		1	7	7	7	"Maria appreciates the time she gets to spend with her children as they grow up. She loves them, and there is nothing else she would rather be doing than caring for them, and being a part of their life."		32	1	3		5	4	A3QKPJ5NYH1W18	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_8ccDbgzBlx01Hwx		7	1	6	6	6	She went to LA to meet celebrities and to find work in LA. She enjoys the life style she has. She does not want to go home she wants to make her future in California. She knows that she will be able to make it there and does not want to go home.		50	2	5		4	9	AI3YS9F9B8K3Q 	1	M_B_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_eUVdmJfBt6aiNdH		1	1	5	6	6	Maria is a very insecure person and trying to fulfill a void or cover up some inside feelings that she is not willing to address or admit to.  I think Maria is in denial regarding what her real issues are.		60	2	5		4	6	A25L4WWD0FGNJX	1	M_B_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_9TFmJU9pjFPpTrT	6		1	6	3	6	"I think that Maria both feels a little regret for not seeing her friends, but she is also very happy about spending time with her children.  I think that she has this old desire, but her current happiness and obligations keep her from seeing her old friends. I think Maria is okay with that. "		30	1			6	7	A24CAU1WKCIPT5	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_429KsnJMUaGyq1L	6		1	7	6	6	"I think while Maria is preoccupied with the busyness of life of being a mom, I think she sometimes wishes she could have a break.  / I think with being a single mom she tends to get lonely at times. "		23	2	6	Multiracial	4	6	AAXOAPIBFQUCB	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_4GzW7dKHIpYHaG9		6	1	5	3	2			28	1	1		4	3	a3w1lg4jxlncl	1	M_B_P_Hap	instruct|neg_affect|pos_affect|life_satis
R_bgcl7eG7NDImQux	6		1	7	1	7	"She is thinking about her kids and their future mostly. She wants the best for them and she'll do whatever it takes to make sure that happens. She is like most mothers, dedicated to her children first and putting herself on the back burner."		20	2	6	Brazilian	2	7	A1SFABJ4NX5DFY	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_3yoxUHtHCAMK9AV		6	1	7	7	7	"Maria was very focused on living the celebrity life & being popular so she was going from 1 social event to the next socializing with others, drinking having a good time while trying to get noticed. She even tries to date some famous people. She will stop at nothing to become popular to the point that she will stop being nice & honest with her old friends unless they someone famous."		40	1	3		5	8	AF2GEGHE14TPE	1	M_B_P_Hap	instruct|neg_affect|pos_affect|life_satis
R_3yFZ52bnNeBouO1		3	1	7	5	7	"Maria wants to live a very luxerious, social lifestyle; and in the persuit of this she's been putting a lot of time into being social and networking with people who are living the lifestyle she wants."		36	1	5		5	5	A3D9X7FW21C7XP	1	M_B_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_bKNRafKkYYv2LJz	7		1	7	6	7	"Maria likes being a mother and taking care of her family.  When she's taking care of her kids or planning for their future, she's doing something she enjoys.  She is altruistic in nature and giving of herself brings her joy."		22	2	5		4	3	A187RK5K1JR4WP	1	M_G_P_Hap	instruct|neg_affect|life_satis|pos_affect
R_5p9rqZLpSIWXxul		1	1	7	7	7	It looks like Maria is desperately trying to fit in with a group of people shes feels have perfect lives. I think she believes if they accept her then she is worth something and that she will escape the issues normal people have. I do not think Maria allows herself a moment to grasp the reality of her situation.		47	1	5		3	7	A3PK0OXUVMHMC	1	M_B_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_b3DXmoLtkY3SXUF		2	1	7	7	6	"She has to be over compensating for something, and trying to fill some type of hole/void. She may have felt like an outkast while she was growing up and now wants to prove to others that she is not worthless by trying to be and hang around famous people. Something terrible may have happened to her when she was younger that left a lasting mark."		28	1	5		4	8	AFJA6W2RWNQCZ	1	M_B_P_Hap	instruct|neg_affect|life_satis|pos_affect
R_9Fa6le04YeuQ1eZ	6		1	7	1	7	maria is bus with her kids which distracts her from worrying about being unappy. she enjoys and loves her children very much and they complete her life. She couldnt be more content with the way her life is going and the choices she has made		34	2	5		5	7	A1T16G11LQWFXC	1	M_G_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_8pmj8v15iupRTxz	6		1	7	7	7	Maria is looking out for the best interest of her children and looking forward into their future.  She's probaly thinking about finding a male compainion to spend her time with.		24	1			2	10	AOSLTO4W2A476	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_aXiebLuP1qQsFj7		7	1	7	1	7	maria is a groupie that only wants friends who know famous people. maria is living her  whore life and it seems to please her standards just well. she is living the life of her dreams and no one cant do anything about it.		27	1	5		4	6	a1joek5qm0x6ud	1	M_B_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_ehr8oJ8Hv00Fh3L		2	1	7	6	6	In Maria's mind she is happy because she feels she is living the life of the rich and famous.  In Maria's mind she is like a celebrity that hops from party to party and drinks and has fun.		30	2	5		4	9	A221FSWO28B4YF	1	M_B_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_4U6TCknAtXESxZH	6		1	5	6	6	Maria has a purpose in life (to raise her kids) and is doing that. She thinks she is doing the right thing and that is enough for her. It's really unclear what you mean by this question. 		32	1	5		6	4	AXLI3O9CDOKL3	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_5cnQHpsibOKa2Fv		2	1	7	7	7	I think Maria is in denial about how happy she actually is. The alcohol and partying is covering up how she really feels. It seems like she is living a lie or trying too hard to be something she's not.		29	2	1		5	5	A1P8JLDEWGTOYL	1	M_B_P_Hap	instruct|neg_affect|pos_affect|life_satis
R_9YwMFuCSVd3BPb7	5		1	6	5	3	maria is trying to balence her freinds and family and shes stressed out becuase she cant easily do both due to having to manage her children but she really wanted to hang out with her freinds but is having a hard time finding time		21	1	5		2	5	A2L2BXLJG5OTSV	1	M_G_P_Hap	instruct|neg_affect|pos_affect|life_satis
R_esKd9hF4jUYomoZ		5	1	5	7	7	I think she is self absorbed in her own little celebrity fantasy world.  I don't think reality has yet set in for her about how this way of life is unsustainable for her future.		34	1	5		4	4	A3CH9PH0PSXDIP	1	M_B_P_Hap	instruct|neg_affect|pos_affect|life_satis
R_0kS7DDxpgNYtymh	5		1	7	7	7	She is happy with her life and takes much pride in being a good mother of three children. She still makes time to hang out with her friends to keep the other side of her life happy.		27	1			5	5	AV1GW7HQ25UES	1	M_G_P_Hap	instruct|life_satis|neg_affect|pos_affect
R_afVsChKguXnTkB7	7		1	7	1	7	Maria seems very content with her chosen life of raising her children.  She enjoys being a mother and still keeps in touch with her old friends so she isn't completely consumed by her children.		32	2	5		4	6	A3KVVCGTCLUWXO	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_bPJSYQLN72i05ox	6		1	6	7	7	I believe she is feeling the impact of being a mother to her children. She enjoys taking care of her children and making them happy. This is a biological response that occurs with a majority of mothers.		21	1	5		4	6	A1UJBIY5017FNZ	1	M_G_P_Hap	instruct|life_satis|neg_affect|pos_affect
R_0jRnMNQnnZO4sp7		5	1	7	7	7	I think she basically believes that her efforts are worth it. She probably has some negative feelings about how she treats her old friends but thinks that the lifestyle she has/wants makes it ok.		25	1	5		4	8	A35BY30TC8WCL4	1	M_B_P_Hap	instruct|life_satis|neg_affect|pos_affect
R_0ia03QQA4t4HXRr		6	1	7	6	7	"Homegirl wants to be popular. She has tunnel vision for that goal. Because she is achieving that goal, she is satisfied with how her life is going. It is satisfying to achiee goals that you set out for, even if it means forgoing decency and wealth."		22	2			3	7	A316DI17XAYUOE	1	M_B_P_Hap	instruct|neg_affect|pos_affect|life_satis
R_5dNEl32JviFqssJ	7		1	7	7	7	"I think Maria is so busy that she doesn't really have time to sit down and think about her emotions. I think if she slowed down, she might realize that that she is using this busyness to prevent her from coming to terms with the possibility that she may be substituting her goals and ambitions for that of her children."		24	2	5		5	5	A2IN7E6LD3SHJD	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_bwtnobOuuKjoeA5	7		1	7	7	7	"She is usually thinking about her children and other people, not about herself. They distract her so that she never focuses on the things that get her down, and she is constantly thinking of the next thing she needs to do -- logistics of how to get her kids places, what her friends want to do that night, etc."		23	2	5		5	5	AFZO7PSKCYXJ1	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_863Z1RsNAR9rY2x		7	1	7	7	7	"Maria is obsessed with her goal and doesn't care about anything else, so she is glad to be pursuing it. She is doing what she wants and she knows it, so this gives her purpose in life."		30	1	3		5	9	A2DTTNGUXTEGHQ	1	M_B_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_5o7j5KXCLleUP0p	7		1	7	7	7	"She is very happy and satisfied. She feels she has made good decisions that have led her to being happy with her life, and happy with what life has given her. She lives her life for others, and is totally fine with that. "		22	2	5		4	7	A24JFXQ695JETI	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_eX2z7NX5DmK4QkZ	7		1	7	7	7	I think that Maria is thinking that her children are the greatest thing to ever happen to her. She is probably thinking that she would do anything for her children and that her purpose in life is to raise her children well.		22	1	5		4	5	A1UPJLTUI6VLNP	1	M_G_P_Hap	instruct|life_satis|neg_affect|pos_affect
R_da649UqLYU3LRNX		6	1	6	6	6	"She is thinking about what kind of people she may meet, and what kind of parties she might go to. She is always looking forward to the next fun activity to do. She doesn't dwell on any one thing too long, and can forget things easily if she wants to."		22	1	5		6	2	A2WD53KJNTW1YE	1	M_B_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_cMDu4W88pe2KnLT		3	1	7	7	7	"I think that Maria is chasing after things that don't matter. She has to remember that money isn't everything. She should go after things of substance, like building relationships with people and learning. If she were to stop and think, she would realize that she's wasting her life on stupid, fleeting things."		29	2	5		5	7	A1XXDKKNVQD4XE	1	M_B_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_b8ci7Q6twU6WKXj	7		1	7	7	7	"I think she feels very compelled to do everything for her children without ever really thinking about what she might do just for herself. She's thinking of the next thing on the list that she has to achieve, where she has to be, who  she has to see, what she has to cook, etc. while never considering doing anything else."		57	2	5		5	5	ADD6QU1TGC173	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
